  2.5000e+01           ,0
  2.5002e+01           ,6.2500e-03
  2.5008e+01           ,1.2500e-02
  2.5018e+01           ,1.8750e-02
  2.5032e+01           ,2.5000e-02
  2.5051e+01           ,3.1250e-02
  2.5073e+01           ,3.7500e-02
  2.5099e+01           ,4.3750e-02
  2.5130e+01           ,5.0000e-02
  2.5165e+01           ,5.6250e-02
  2.5203e+01           ,6.2500e-02
  2.5246e+01           ,6.8750e-02
  2.5293e+01           ,7.5000e-02
  2.5343e+01           ,8.1250e-02
  2.5398e+01           ,8.7500e-02
  2.5457e+01           ,9.3750e-02
  2.5520e+01           ,1.0000e-01
  2.5587e+01           ,1.0625e-01
  2.5658e+01           ,1.1250e-01
  2.5733e+01           ,1.1875e-01
  2.5812e+01           ,1.2500e-01
  2.5895e+01           ,1.3125e-01
  2.5982e+01           ,1.3750e-01
  2.6073e+01           ,1.4375e-01
  2.6168e+01           ,1.5000e-01
  2.6267e+01           ,1.5625e-01
  2.6370e+01           ,1.6250e-01
  2.6477e+01           ,1.6875e-01
  2.6588e+01           ,1.7500e-01
  2.6702e+01           ,1.8125e-01
  2.6820e+01           ,1.8750e-01
  2.6943e+01           ,1.9375e-01
  2.7069e+01           ,2.0000e-01
  2.7199e+01           ,2.0625e-01
  2.7332e+01           ,2.1250e-01
  2.7470e+01           ,2.1875e-01
  2.7611e+01           ,2.2500e-01
  2.7756e+01           ,2.3125e-01
  2.7904e+01           ,2.3750e-01
  2.8057e+01           ,2.4375e-01
  2.8213e+01           ,2.5000e-01
  2.8372e+01           ,2.5625e-01
  2.8535e+01           ,2.6250e-01
  2.8702e+01           ,2.6875e-01
  2.8872e+01           ,2.7500e-01
  2.9046e+01           ,2.8125e-01
  2.9223e+01           ,2.8750e-01
  2.9403e+01           ,2.9375e-01
  2.9587e+01           ,3.0000e-01
  2.9775e+01           ,3.0625e-01
  2.9965e+01           ,3.1250e-01
  3.0159e+01           ,3.1875e-01
  3.0357e+01           ,3.2500e-01
